col0,col1,col2,col3,code_line
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,51,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search(folderName, (results) => {"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,55,create,Call to chrome.bookmarks.create,"chrome.bookmarks.create({ parentId: idParentFolder, title: folderName }, (newFolder) => {"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,65,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search({ title: title, url: url }, function (existingBookmarks) {"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,67,create,Call to chrome.bookmarks.create,chrome.bookmarks.create({
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,79,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search({ title, url }, function (existingBookmarks) {"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,82,remove,Call to chrome.bookmarks.remove,chrome.bookmarks.remove(bookmarkId);
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,167,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search({ url: link.url }, (results) => {"
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js,33,getTree,Call to chrome.bookmarks.getTree,chrome.bookmarks.getTree((bookmarksTree) => {
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js,58,getTree,Call to chrome.bookmarks.getTree,chrome.bookmarks.getTree((bookmarksTree) => {
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8218,getTree,Call to chrome.bookmarks.getTree,chrome.bookmarks.getTree().then(function (nodes) {
taint-steps/3-getAParameter/src/bkiakepgpgfibglghlhdpacjdglfpbnn.0_0_4_0/popup.js,1097,getTree,Call to chrome.bookmarks.getTree,chrome.bookmarks.getTree((res) => {
